,State,% Change in Obesity,% change in Access,Outlier
0,AK,-3.868,13.309999999999999,False
1,AL,3.2774242424242424,29.911363636363642,True
2,AR,7.626197183098592,41.279999999999994,True
3,AZ,3.6515384615384616,7.690769230769231,True
4,CA,-1.5261363636363638,-3.3775000000000004,True
5,CO,2.4548214285714285,0.10785714285714373,True
6,CT,9.686666666666667,-1.623333333333333,False
7,DE,2.875,-16.72,False
8,FL,1.5283870967741937,1.4706451612903222,True
9,GA,3.0350318471337583,11.940000000000001,True
10,HI,-6.432,-0.6800000000000003,True
11,IA,7.0156989247311845,7.9874193548387105,True
12,ID,3.2668292682926836,7.023902439024391,True
13,IL,2.9693877551020416,12.256734693877549,True
14,IN,2.8944444444444444,17.023333333333333,True
15,KS,2.1791428571428573,17.59714285714286,True
16,KY,3.127666666666668,8.949,True
17,LA,5.148409090909089,-0.48022727272727295,False
18,MA,0.7707142857142858,-13.382142857142854,False
19,MD,5.185499999999999,31.884499999999996,True
20,ME,0.6275,-5.960624999999999,False
21,MI,1.425897435897436,11.49269230769231,True
22,MN,3.5797368421052616,-4.340657894736842,False
23,MO,2.9802803738317762,16.569252336448596,True
24,MS,3.6464999999999987,14.666875000000001,True
25,MT,3.967708333333333,6.884166666666666,True
26,NC,2.272828282828283,0.6238383838383834,True
27,ND,3.4019607843137254,-10.59078431372549,False
28,NE,2.4885393258426967,-7.723483146067416,False
29,NH,8.821000000000002,-6.348,False
30,NJ,4.055000000000001,1.9254999999999995,True
31,NM,2.2311538461538456,1.2569230769230773,True
32,NV,2.417333333333333,16.272,True
33,NY,1.7686666666666666,5.523833333333333,True
34,OH,3.2519540229885058,15.274022988505747,True
35,OK,5.207199999999999,18.4852,True
36,OR,4.766285714285715,0.9768571428571428,True
37,PA,3.513731343283583,5.342985074626869,True
38,RI,3.8920000000000003,-15.733999999999998,False
39,SC,2.070869565217392,31.387173913043476,True
40,SD,-0.6393650793650792,-0.918730158730159,True
41,TN,2.359042553191489,-0.6527659574468084,False
42,TX,-1.0597046413502111,17.321645569620262,False
43,UT,-0.32038461538461543,-11.589615384615383,True
44,VA,1.4187,2.9873000000000025,True
45,VT,3.164615384615385,-3.6438461538461544,False
46,WA,2.524571428571429,20.44685714285714,True
47,WI,3.06030303030303,12.537878787878793,True
48,WV,3.5523636363636353,24.31036363636364,True
49,WY,3.2600000000000002,-0.2685714285714287,False
